"매장","매장위치","카테고리","세부내용","시술 설명","매장URL","매장위도","매장경도","recovery_total_days","recovery_transition_day","오늘의 케어"
"엠레드 클리닉","강남구 삼성로 731","약물·주사","초음파™ 보톡스","근육 이완을 통한 주름 개선 및 라인 축소","https://amredclinic.com/ko","37.521263","127.048703","7","3","미간을 찌푸리거나 이마를 크게 움직이는 표정은 오늘 하루 자제해주세요. 시술 부위를 손으로 누르거나 마사지하지 말고, 엎드려 자는 자세도 오늘은 피해주세요. 시술 후 3일 정도는 위 사항을 신경 써주시고, 이후 7일차까지는 서서히 편안해질 거예요."
"엠레드 클리닉","강남구 삼성로 731","약물·주사","스컬트라","콜라겐 자극으로 자연스러운 볼륨 형성","https://amredclinic.com/ko","37.521263","127.048703","10","4","필러가 자리를 잡아가는 기간이라 스컬트라 부위는 세게 누르거나 마사지하지 말고 부드럽게만 관리해주세요. 뜨거운 찜질, 사우나, 격한 운동처럼 붓기를 키울 수 있는 활동은 오늘은 쉬어가시고, 엎드려 자는 자세도 피해주세요. 시술 후 4일 정도는 위 사항을 신경 써주시고, 이후 10일차까지는 서서히 편안해질 거예요."
"엠레드 클리닉","강남구 삼성로 731","약물·주사","튠컬트라","콜라겐 자극 볼륨 시술","https://amredclinic.com/ko","37.521263","127.048703","10","4","콜라겐이 서서히 채워지며 자연스러운 볼륨이 완성되는 시술이라 오늘은 결과를 조급해하지 않으셔도 돼요. 안내받은 방법대로 가볍게 마사지해 주시고(별도 안내가 없다면 세게 누르는 자극은 피해주세요), 사우나·찜질방처럼 열자극이 큰 곳은 오늘 하루 쉬어주세요. 시술 후 4일 정도는 위 사항을 신경 써주시고, 이후 10일차까지는 서서히 편안해질 거예요."
"엠레드 클리닉","강남구 삼성로 731","약물·주사","나노필로티","미세 입자 콜라겐 재생 시술","https://amredclinic.com/ko","37.521263","127.048703","10","4","피부 결과 탄력이 서서히 개선되는 시기라 오늘은 자극적인 각질제거나 스크럽 없이 순한 세안과 보습으로만 관리해주세요. 주삿바늘 자국 주변에 작은 붉은 기나 오돌토돌함이 있을 수 있는데 억지로 짜거나 만지지 말고 자연스럽게 가라앉기를 기다려주세요. 시술 후 4일 정도는 위 사항을 신경 써주시고, 이후 10일차까지는 서서히 편안해질 거예요."
"엠레드 클리닉","강남구 삼성로 731","약물·주사","엠레드 줄기세포","줄기세포 성분 피부 재생 시술","https://amredclinic.com/ko","37.521263","127.048703","5","2","피부 결과 탄력이 서서히 개선되는 시기라 오늘은 자극적인 각질제거나 스크럽 없이 순한 세안과 보습으로만 관리해주세요. 주삿바늘 자국 주변에 작은 붉은 기나 오돌토돌함이 있을 수 있는데 억지로 짜거나 만지지 말고 자연스럽게 가라앉기를 기다려주세요. 시술 후 2일 정도는 위 사항을 신경 써주시고, 이후 5일차까지는 서서히 편안해질 거예요."
"엠레드 클리닉","강남구 삼성로 731","약물·주사","리쥬란","PDRN 성분으로 피부 재생 및 탄력 개선","https://amredclinic.com/ko","37.521263","127.048703","5","2","피부 결과 탄력이 서서히 개선되는 시기라 오늘은 자극적인 각질제거나 스크럽 없이 순한 세안과 보습으로만 관리해주세요. 주삿바늘 자국 주변에 작은 붉은 기나 오돌토돌함이 있을 수 있는데 억지로 짜거나 만지지 말고 자연스럽게 가라앉기를 기다려주세요. 시술 후 2일 정도는 위 사항을 신경 써주시고, 이후 5일차까지는 서서히 편안해질 거예요."
"엠레드 클리닉","강남구 삼성로 731","약물·주사","쥬베룩","콜라겐 재생 자극 필러로 볼륨 및 피부결 개선","https://amredclinic.com/ko","37.521263","127.048703","10","4","콜라겐이 서서히 채워지며 자연스러운 볼륨이 완성되는 시술이라 오늘은 결과를 조급해하지 않으셔도 돼요. 안내받은 방법대로 가볍게 마사지해 주시고(별도 안내가 없다면 세게 누르는 자극은 피해주세요), 사우나·찜질방처럼 열자극이 큰 곳은 오늘 하루 쉬어주세요. 시술 후 4일 정도는 위 사항을 신경 써주시고, 이후 10일차까지는 서서히 편안해질 거예요."
"엠레드 클리닉","강남구 삼성로 731","약물·주사","엑소좀","엑소좀 성분으로 피부 진정 및 재생","https://amredclinic.com/ko","37.521263","127.048703","5","2","피부 결과 탄력이 서서히 개선되는 시기라 오늘은 자극적인 각질제거나 스크럽 없이 순한 세안과 보습으로만 관리해주세요. 주삿바늘 자국 주변에 작은 붉은 기나 오돌토돌함이 있을 수 있는데 억지로 짜거나 만지지 말고 자연스럽게 가라앉기를 기다려주세요. 시술 후 2일 정도는 위 사항을 신경 써주시고, 이후 5일차까지는 서서히 편안해질 거예요."
"엠레드 클리닉","강남구 삼성로 731","약물·주사","스킨바이브","피부 표면 결 개선 미세 히알루론산 주사","https://amredclinic.com/ko","37.521263","127.048703","5","2","피부 결과 탄력이 서서히 개선되는 시기라 오늘은 자극적인 각질제거나 스크럽 없이 순한 세안과 보습으로만 관리해주세요. 주삿바늘 자국 주변에 작은 붉은 기나 오돌토돌함이 있을 수 있는데 억지로 짜거나 만지지 말고 자연스럽게 가라앉기를 기다려주세요. 시술 후 2일 정도는 위 사항을 신경 써주시고, 이후 5일차까지는 서서히 편안해질 거예요."
"엠레드 클리닉","강남구 삼성로 731","약물·주사","초음파™ 브이올렛","얼굴·바디 윤곽 개선 볼륨 주사","https://amredclinic.com/ko","37.521263","127.048703","5","2","볼륨이 자리 잡는 초기라 시술 부위가 붓거나 단단하게 느껴질 수 있어요, 오늘은 마사지나 압박 없이 편하게 두세요. 무리한 운동이나 사우나는 잠시 미루고 충분한 수분 섭취로 회복을 도와주세요. 시술 후 2일 정도는 위 사항을 신경 써주시고, 이후 5일차까지는 서서히 편안해질 거예요."
