target_date,city,district,temperature,weather_condition,uv_index,pm10_value,pm10_status
2026-08-01,서울,종로구,29.5,맑음,높음,38,보통
2026-08-01,서울,중구,29.7,맑음,높음,40,보통
2026-08-01,서울,용산구,29.2,구름조금,높음,35,보통
2026-08-01,서울,성동구,29.4,구름조금,높음,37,보통
2026-08-01,서울,광진구,29.1,구름조금,높음,34,보통
2026-08-01,서울,동대문구,29.6,맑음,높음,39,보통
2026-08-01,서울,중랑구,28.9,구름조금,높음,33,보통
2026-08-01,서울,성북구,29.3,구름조금,높음,36,보통
2026-08-01,서울,강북구,28.8,구름조금,높음,32,보통
2026-08-01,서울,도봉구,28.6,구름조금,높음,31,좋음
2026-08-01,서울,노원구,28.7,구름조금,높음,32,보통
2026-08-01,서울,은평구,28.8,구름조금,높음,32,보통
2026-08-01,서울,서대문구,29.0,구름조금,높음,34,보통
2026-08-01,서울,마포구,29.2,구름조금,높음,35,보통
2026-08-01,서울,양천구,29.4,맑음,높음,37,보통
2026-08-01,서울,강서구,29.3,맑음,높음,36,보통
2026-08-01,서울,구로구,29.1,구름조금,높음,34,보통
2026-08-01,서울,금천구,29.2,구름조금,높음,35,보통
2026-08-01,서울,영등포구,29.5,맑음,높음,38,보통
2026-08-01,서울,동작구,29.3,구름조금,높음,36,보통
2026-08-01,서울,관악구,28.9,구름조금,높음,33,보통
2026-08-01,서울,서초구,29.6,맑음,높음,39,보통
2026-08-01,서울,강남구,30.0,맑음,매우 높음,42,보통
2026-08-01,서울,송파구,29.8,맑음,매우 높음,41,보통
2026-08-01,서울,강동구,29.5,맑음,높음,38,보통
2026-08-02,서울,종로구,29.8,구름조금,높음,40,보통
2026-08-02,서울,중구,30.0,구름조금,높음,42,보통
2026-08-02,서울,용산구,29.5,구름조금,높음,37,보통
2026-08-02,서울,성동구,29.7,구름조금,높음,39,보통
2026-08-02,서울,광진구,29.4,구름조금,높음,36,보통
2026-08-02,서울,동대문구,29.9,맑음,높음,41,보통
2026-08-02,서울,중랑구,29.2,구름조금,높음,35,보통
2026-08-02,서울,성북구,29.6,구름조금,높음,38,보통
2026-08-02,서울,강북구,29.1,구름조금,높음,34,보통
2026-08-02,서울,도봉구,28.9,구름조금,높음,33,보통
2026-08-02,서울,노원구,29.0,구름조금,높음,34,보통
2026-08-02,서울,은평구,29.1,구름조금,높음,34,보통
2026-08-02,서울,서대문구,29.3,구름조금,높음,36,보통
2026-08-02,서울,마포구,29.5,구름조금,높음,37,보통
2026-08-02,서울,양천구,29.7,맑음,높음,39,보통
2026-08-02,서울,강서구,29.6,맑음,높음,38,보통
2026-08-02,서울,구로구,29.4,구름조금,높음,36,보통
2026-08-02,서울,금천구,29.5,구름조금,높음,37,보통
2026-08-02,서울,영등포구,29.8,맑음,높음,40,보통
2026-08-02,서울,동작구,29.6,구름조금,높음,38,보통
2026-08-02,서울,관악구,29.2,구름조금,높음,35,보통
2026-08-02,서울,서초구,29.9,맑음,높음,41,보통
2026-08-02,서울,강남구,30.3,맑음,매우 높음,44,보통
2026-08-02,서울,송파구,30.1,맑음,매우 높음,43,보통
2026-08-02,서울,강동구,29.8,맑음,높음,40,보통
2026-08-03,서울,종로구,30.0,맑음,매우 높음,41,보통
2026-08-03,서울,중구,30.2,맑음,매우 높음,43,보통
2026-08-03,서울,용산구,29.7,구름조금,높음,38,보통
2026-08-03,서울,성동구,29.9,구름조금,높음,40,보통
2026-08-03,서울,광진구,29.6,구름조금,높음,37,보통
2026-08-03,서울,동대문구,30.1,맑음,매우 높음,42,보통
2026-08-03,서울,중랑구,29.4,구름조금,높음,36,보통
2026-08-03,서울,성북구,29.8,구름조금,높음,39,보통
2026-08-03,서울,강북구,29.3,구름조금,높음,35,보통
2026-08-03,서울,도봉구,29.1,구름조금,높음,34,보통
2026-08-03,서울,노원구,29.2,구름조금,높음,35,보통
2026-08-03,서울,은평구,29.3,구름조금,높음,35,보통
2026-08-03,서울,서대문구,29.5,구름조금,높음,37,보통
2026-08-03,서울,마포구,29.7,구름조금,높음,38,보통
2026-08-03,서울,양천구,29.9,맑음,매우 높음,40,보통
2026-08-03,서울,강서구,29.8,맑음,매우 높음,39,보통
2026-08-03,서울,구로구,29.6,구름조금,높음,37,보통
2026-08-03,서울,금천구,29.7,구름조금,높음,38,보통
2026-08-03,서울,영등포구,30.0,맑음,매우 높음,41,보통
2026-08-03,서울,동작구,29.8,구름조금,높음,39,보통
2026-08-03,서울,관악구,29.4,구름조금,높음,36,보통
2026-08-03,서울,서초구,30.1,맑음,매우 높음,42,보통
2026-08-03,서울,강남구,30.5,맑음,매우 높음,45,보통
2026-08-03,서울,송파구,30.3,맑음,매우 높음,44,보통
2026-08-03,서울,강동구,30.0,맑음,매우 높음,41,보통
2026-08-04,서울,종로구,30.2,맑음,매우 높음,42,보통
2026-08-04,서울,중구,30.4,맑음,매우 높음,44,보통
2026-08-04,서울,용산구,29.9,구름조금,높음,39,보통
2026-08-04,서울,성동구,30.1,구름조금,높음,41,보통
2026-08-04,서울,광진구,29.8,구름조금,높음,38,보통
2026-08-04,서울,동대문구,30.3,맑음,매우 높음,43,보통
2026-08-04,서울,중랑구,29.6,구름조금,높음,37,보통
2026-08-04,서울,성북구,30.0,구름조금,높음,40,보통
2026-08-04,서울,강북구,29.5,구름조금,높음,36,보통
2026-08-04,서울,도봉구,29.3,구름조금,높음,35,보통
2026-08-04,서울,노원구,29.4,구름조금,높음,36,보통
2026-08-04,서울,은평구,29.5,구름조금,높음,36,보통
2026-08-04,서울,서대문구,29.7,구름조금,높음,38,보통
2026-08-04,서울,마포구,29.9,구름조금,높음,39,보통
2026-08-04,서울,양천구,30.1,맑음,매우 높음,41,보통
2026-08-04,서울,강서구,30.0,맑음,매우 높음,40,보통
2026-08-04,서울,구로구,29.8,구름조금,높음,38,보통
2026-08-04,서울,금천구,29.9,구름조금,높음,39,보통
2026-08-04,서울,영등포구,30.2,맑음,매우 높음,42,보통
2026-08-04,서울,동작구,30.0,구름조금,높음,40,보통
2026-08-04,서울,관악구,29.6,구름조금,높음,37,보통
2026-08-04,서울,서초구,30.3,맑음,매우 높음,43,보통
2026-08-04,서울,강남구,30.7,맑음,매우 높음,46,보통
2026-08-04,서울,송파구,30.5,맑음,매우 높음,45,보통
2026-08-04,서울,강동구,30.2,맑음,매우 높음,42,보통
2026-08-05,서울,종로구,30.1,구름조금,높음,40,보통
2026-08-05,서울,중구,30.3,구름조금,높음,42,보통
2026-08-05,서울,용산구,29.8,구름조금,높음,37,보통
2026-08-05,서울,성동구,30.0,구름조금,높음,39,보통
2026-08-05,서울,광진구,29.7,구름조금,높음,36,보통
2026-08-05,서울,동대문구,30.2,맑음,높음,41,보통
2026-08-05,서울,중랑구,29.5,구름조금,높음,35,보통
2026-08-05,서울,성북구,29.9,구름조금,높음,38,보통
2026-08-05,서울,강북구,29.4,구름조금,높음,34,보통
2026-08-05,서울,도봉구,29.2,구름조금,높음,33,보통
2026-08-05,서울,노원구,29.3,구름조금,높음,34,보통
2026-08-05,서울,은평구,29.4,구름조금,높음,34,보통
2026-08-05,서울,서대문구,29.6,구름조금,높음,36,보통
2026-08-05,서울,마포구,29.8,구름조금,높음,37,보통
2026-08-05,서울,양천구,30.0,맑음,높음,39,보통
2026-08-05,서울,강서구,29.9,맑음,높음,38,보통
2026-08-05,서울,구로구,29.7,구름조금,높음,36,보통
2026-08-05,서울,금천구,29.8,구름조금,높음,37,보통
2026-08-05,서울,영등포구,30.1,맑음,높음,40,보통
2026-08-05,서울,동작구,29.9,구름조금,높음,38,보통
2026-08-05,서울,관악구,29.5,구름조금,높음,35,보통
2026-08-05,서울,서초구,30.2,맑음,높음,41,보통
2026-08-05,서울,강남구,30.6,맑음,매우 높음,44,보통
2026-08-05,서울,송파구,30.4,맑음,매우 높음,43,보통
2026-08-05,서울,강동구,30.1,맑음,높음,40,보통
2026-08-06,서울,종로구,29.9,구름조금,높음,39,보통
2026-08-06,서울,중구,30.1,구름조금,높음,41,보통
2026-08-06,서울,용산구,29.6,구름조금,높음,36,보통
2026-08-06,서울,성동구,29.8,구름조금,높음,38,보통
2026-08-06,서울,광진구,29.5,구름조금,높음,35,보통
